raw_score,weighted,section
0,10,reading
1,10,reading
2,10,reading
3,10,reading
4,11,reading
5,12,reading
6,13,reading
7,13,reading
8,14,reading
9,15,reading
10,16,reading
11,16,reading
12,17,reading
13,17,reading
14,18,reading
15,18,reading
16,19,reading
17,19,reading
18,20,reading
19,20,reading
20,21,reading
21,21,reading
22,22,reading
23,22,reading
24,23,reading
25,23,reading
26,24,reading
27,24,reading
28,25,reading
29,25,reading
30,26,reading
31,26,reading
32,27,reading
33,28,reading
34,28,reading
35,29,reading
36,29,reading
37,30,reading
38,30,reading
39,31,reading
40,31,reading
41,31,reading
42,32,reading
43,32,reading
44,33,reading
45,33,reading
46,34,reading
47,35,reading
48,36,reading
49,36,reading
50,37,reading
51,39,reading
52,40,reading
0,10,writing
1,10,writing
2,10,writing
3,11,writing
4,11,writing
5,12,writing
6,13,writing
7,14,writing
8,14,writing
9,15,writing
10,16,writing
11,16,writing
12,17,writing
13,17,writing
14,18,writing
15,18,writing
16,18,writing
17,19,writing
18,19,writing
19,20,writing
20,20,writing
21,21,writing
22,21,writing
23,22,writing
24,23,writing
25,23,writing
26,24,writing
27,24,writing
28,25,writing
29,25,writing
30,26,writing
31,27,writing
32,27,writing
33,28,writing
34,29,writing
35,29,writing
36,30,writing
37,31,writing
38,31,writing
39,32,writing
40,33,writing
41,34,writing
42,36,writing
43,38,writing
44,40,writing
0,20,math
1,20,math
2,21,math
3,22,math
4,23,math
5,25,math
6,27,math
7,28,math
8,30,math
9,31,math
10,32,math
11,34,math
12,35,math
13,36,math
14,37,math
15,38,math
16,39,math
17,40,math
18,41,math
19,42,math
20,43,math
21,44,math
22,45,math
23,46,math
24,47,math
25,48,math
26,49,math
27,50,math
28,50,math
29,51,math
30,52,math
31,52,math
32,53,math
33,54,math
34,54,math
35,55,math
36,56,math
37,57,math
38,58,math
39,58,math
40,59,math
41,60,math
42,61,math
43,61,math
44,62,math
45,63,math
46,64,math
47,65,math
48,66,math
49,67,math
50,68,math
51,69,math
52,70,math
53,71,math
54,73,math
55,75,math
56,77,math
57,79,math
58,80,math
