raw_score,weighted,section
0,10,reading
1,10,reading
2,10,reading
3,10,reading
4,11,reading
5,12,reading
6,13,reading
7,14,reading
8,15,reading
9,15,reading
10,16,reading
11,17,reading
12,17,reading
13,18,reading
14,18,reading
15,19,reading
16,19,reading
17,20,reading
18,20,reading
19,21,reading
20,21,reading
21,22,reading
22,22,reading
23,23,reading
24,23,reading
25,24,reading
26,24,reading
27,25,reading
28,25,reading
29,26,reading
30,26,reading
31,27,reading
32,27,reading
33,28,reading
34,28,reading
35,29,reading
36,29,reading
37,30,reading
38,30,reading
39,31,reading
40,31,reading
41,32,reading
42,33,reading
43,33,reading
44,34,reading
45,35,reading
46,36,reading
47,37,reading
48,37,reading
49,38,reading
50,39,reading
51,40,reading
52,40,reading
0,10,writing
1,10,writing
2,10,writing
3,11,writing
4,11,writing
5,12,writing
6,13,writing
7,14,writing
8,15,writing
9,16,writing
10,16,writing
11,17,writing
12,18,writing
13,18,writing
14,19,writing
15,20,writing
16,20,writing
17,21,writing
18,22,writing
19,23,writing
20,23,writing
21,24,writing
22,25,writing
23,25,writing
24,26,writing
25,27,writing
26,27,writing
27,28,writing
28,28,writing
29,29,writing
30,30,writing
31,30,writing
32,31,writing
33,31,writing
34,32,writing
35,33,writing
36,34,writing
37,34,writing
38,35,writing
39,36,writing
40,36,writing
41,38,writing
42,39,writing
43,39,writing
44,40,writing
0,20,math
1,20,math
2,21,math
3,23,math
4,25,math
5,26,math
6,28,math
7,29,math
8,31,math
9,32,math
10,33,math
11,34,math
12,35,math
13,36,math
14,38,math
15,39,math
16,40,math
17,41,math
18,42,math
19,43,math
20,44,math
21,45,math
22,46,math
23,47,math
24,49,math
25,50,math
26,51,math
27,51,math
28,52,math
29,53,math
30,53,math
31,54,math
32,55,math
33,56,math
34,57,math
35,58,math
36,59,math
37,59,math
38,60,math
39,61,math
40,62,math
41,63,math
42,64,math
43,65,math
44,66,math
45,67,math
46,67,math
47,68,math
48,69,math
49,70,math
50,71,math
51,72,math
52,73,math
53,74,math
54,76,math
55,77,math
56,78,math
57,79,math
58,80,math
